rok,stan_fips,stan_nazwa,populacja_total,pct_ponizej_18lat,pct_powyzej_65lat,mediana_dochodu_gosp_dom,pct_ubóstwo,pct_zatrudnieni,pct_bezrobocie,pct_dojazd_samochod,pct_dojazd_carpool,pct_dojazd_transport_pub,pct_dojazd_pieszo,pct_praca_z_domu,sredni_czas_dojazdu_min,pct_wyksztalcenie_srednie,pct_wyksztalcenie_wyzsze,pct_bez_ubezpieczenia,liczba_jednostek_mieszkalnych,pct_mieszkania_wynajmowane,liczba_gospodarstw_domowych,pct_gospodarstwa_z_dziecmi,pct_dostep_internet
2013,FIPS:28,Mississippi,2991207,52.3,,37963,19.0,51.3,6.1,84.0,10.3,0.4,1.5,1.9,23.6,20.4,2245235,82.9,1283192,32.8,1091002,,57.4
2013,FIPS:29,Missouri,6044171,51.7,0.0,46931,11.5,58.5,4.7,81.7,9.2,1.6,2.0,4.1,23.2,27.0,4625160,87.0,2719109,33.0,2362853,,69.8
2013,FIPS:30,Montana,1015165,50.2,0.6,46972,11.3,59.1,4.1,75.1,10.1,0.7,5.3,6.0,18.0,29.0,787251,83.5,485767,33.1,406288,,72.1
2013,FIPS:31,Nebraska,1868516,50.8,0.3,51440,8.8,66.4,3.2,81.5,9.3,0.8,2.7,4.4,18.1,29.4,1400412,88.7,806888,34.0,730579,,72.9
2013,FIPS:32,Nevada,2790136,49.9,0.0,51230,11.6,57.2,7.0,78.4,10.5,3.4,2.2,3.6,23.7,22.5,2121587,79.3,1186936,45.7,1002571,,75.6
2013,FIPS:33,New Hampshire,1323459,51.0,,64230,5.1,63.9,4.1,81.2,8.1,1.0,3.1,5.4,26.8,34.6,1051145,89.3,616496,29.8,519246,,80.9
2013,FIPS:34,New Jersey,8899339,51.9,0.0,70165,8.7,59.8,6.0,72.0,8.0,11.1,2.9,4.0,30.9,36.6,6869974,86.8,3578260,36.0,3176139,,79.1
2013,FIPS:35,New Mexico,2085287,50.8,0.1,43872,16.3,53.5,5.4,79.2,10.5,1.1,2.3,4.4,21.5,26.4,1569444,81.4,905134,32.1,753507,,64.4
2013,FIPS:36,New York,19651127,52.2,0.0,57369,12.1,57.9,5.5,52.8,6.9,27.9,6.4,4.0,32.1,34.1,15388848,89.3,8126399,46.3,7219356,,75.3
2013,FIPS:37,North Carolina,9848060,52.0,0.0,45906,13.1,55.8,6.0,81.1,10.0,1.1,1.9,4.5,23.9,28.4,7473808,84.4,4394515,35.7,3757480,,70.8
2013,FIPS:38,North Dakota,723393,49.0,1.7,55759,7.0,67.6,1.8,79.0,10.1,0.4,4.5,4.4,17.9,27.1,557235,89.6,339293,35.2,298298,,72.5
2013,FIPS:39,Ohio,11570808,51.8,0.0,48081,11.6,58.0,5.1,83.6,7.8,1.7,2.2,3.5,23.2,26.1,8914100,89.0,5124126,33.9,4564745,,71.2
2013,FIPS:40,Oklahoma,3850568,51.1,0.0,45690,12.5,57.2,3.8,83.4,9.7,0.5,1.7,3.4,21.3,23.8,2884823,82.3,1682358,34.5,1447277,,66.7
2013,FIPS:41,Oregon,3930065,51.0,0.0,50251,11.3,56.3,5.7,71.6,10.3,4.3,4.0,6.3,22.8,30.7,3068447,85.3,1684107,39.2,1523799,,77.5
2013,FIPS:42,Pennsylvania,12773801,51.7,0.0,52007,9.3,57.7,5.2,76.8,8.3,5.6,3.9,3.9,26.0,28.7,10053050,90.3,5565354,31.1,4938894,,72.4
2013,FIPS:44,Rhode Island,1051511,52.1,,55902,10.7,59.5,6.0,80.3,8.0,2.7,4.1,3.1,24.0,32.4,835904,88.4,461658,39.6,406366,,76.5
2013,FIPS:45,South Carolina,4774839,52.0,0.0,44163,14.1,54.6,5.7,82.9,9.0,0.7,2.5,3.3,23.7,26.1,3669343,84.2,2158784,31.8,1794989,,66.6
2013,FIPS:46,South Dakota,844877,50.2,7.2,48947,9.2,65.7,2.8,79.7,9.2,0.3,4.2,5.2,17.0,26.6,633343,88.7,370207,32.8,331406,,71.1
2013,FIPS:47,Tennessee,6495978,51.9,,44297,13.3,55.8,5.3,83.9,9.2,0.7,1.4,3.5,24.5,24.8,4986689,86.1,2840998,33.6,2490249,,67.0
2013,FIPS:48,Texas,26448193,50.8,0.0,51704,13.6,59.9,4.5,80.2,10.7,1.6,1.6,4.1,25.5,27.5,19318495,77.9,10256203,38.2,9110853,,71.8
2013,FIPS:50,Vermont,626630,51.3,,52578,7.8,62.2,3.8,75.4,9.7,1.2,5.3,6.8,22.5,35.7,502337,92.8,323936,29.0,253234,,75.3
2013,FIPS:49,Utah,2900872,50.2,0.0,59770,9.3,63.3,3.7,76.0,11.8,2.3,2.6,5.1,21.2,31.3,1999931,86.0,1006164,30.8,899475,,79.6
2013,FIPS:51,Virginia,8260405,51.4,0.0,62666,8.4,60.4,4.3,77.4,9.4,4.4,2.5,4.5,27.7,36.1,6293642,87.7,3412577,34.4,3055863,,75.8
2013,FIPS:53,Washington,6971406,50.4,0.0,58405,9.5,58.2,5.0,72.7,10.1,6.3,3.5,5.3,26.0,32.7,5326316,86.0,2928300,38.1,2644557,,78.9
2013,FIPS:54,West Virginia,1854304,51.1,,41253,13.5,49.7,4.6,81.5,10.8,0.7,2.8,3.1,25.8,18.9,1471008,86.0,879424,27.7,738653,,64.9
